county,fips,cand,st,pct_report,votes,total_votes,lead,pct,state.name
NA,AK,Donald Trump,AK,0.9955,130415,246588,Donald Trump,0.528878129,Alaska
NA,AK,Hillary Clinton,AK,0.9955,93007,246588,Donald Trump,0.377175694,Alaska
NA,AK,Gary Johnson,AK,0.9955,14593,246588,Donald Trump,0.059179684,Alaska
NA,AK,Jill Stein,AK,0.9955,4445,246588,Donald Trump,0.018026019,Alaska
NA,AK,Darrell Castle,AK,0.9955,3156,246588,Donald Trump,0.012798676,Alaska
NA,AK,Rocky De La Fuente,AK,0.9955,972,246588,Donald Trump,0.003941798,Alaska
NA,AL,Donald Trump,AL,1,1306925,2078165,Donald Trump,0.628884136,Alabama
NA,AL,Hillary Clinton,AL,1,718084,2078165,Donald Trump,0.34553753,Alabama
NA,AL,Gary Johnson,AL,1,43869,2078165,Donald Trump,0.021109488,Alabama
NA,AL,Jill Stein,AL,1,9287,2078165,Donald Trump,0.004468846,Alabama
Jefferson County,1073,Hillary Clinton,AL,1,151581,290111,Hillary Clinton,0.522493115,Alabama
Jefferson County,1073,Donald Trump,AL,1,130614,290111,Hillary Clinton,0.450220778,Alabama
Jefferson County,1073,Gary Johnson,AL,1,6407,290111,Hillary Clinton,0.02208465,Alabama
Jefferson County,1073,Jill Stein,AL,1,1509,290111,Hillary Clinton,0.005201457,Alabama
Mobile County,1097,Donald Trump,AL,1,91087,163387,Donald Trump,0.557492334,Alabama
Mobile County,1097,Hillary Clinton,AL,1,68429,163387,Donald Trump,0.41881545,Alabama
Mobile County,1097,Gary Johnson,AL,1,3113,163387,Donald Trump,0.019052923,Alabama
Mobile County,1097,Jill Stein,AL,1,758,163387,Donald Trump,0.004639292,Alabama
Madison County,1089,Donald Trump,AL,1,89199,159473,Donald Trump,0.559336063,Alabama
